Unnamed: 0,datetime,open,high,low,close,volume,HL,HC,LC,TR,ATR,Upper Band,Lower Band,Supertrend,In Uptrend,Buy Signal,Sell Signal,signal,signals,trade_type
14,2019-12-15,141.77,144.0,139.89,142.39,230729.834,4.110000000000014,2.2299999999999898,1.8800000000000239,4.110000000000014,5.060666666666664,157.12699999999998,126.763,126.763,True,False,False,0,0,hold
15,2019-12-16,142.46,142.63,128.59,132.59,553596.159,14.039999999999992,0.2400000000000091,13.799999999999983,14.039999999999992,5.529999999999998,152.20000000000002,126.763,126.763,True,False,False,0,0,hold
16,2019-12-17,132.6,132.84,119.1,121.87,613475.54,13.740000000000009,0.25,13.490000000000009,13.740000000000009,6.13733333333333,144.38199999999998,107.558,144.38199999999998,False,False,True,-1,-1,long_reversal
17,2019-12-18,121.9,134.75,115.95,132.74,1013697.094,18.799999999999997,12.879999999999995,5.920000000000002,18.799999999999997,7.111999999999996,144.38199999999998,104.01400000000001,144.38199999999998,False,False,False,0,0,hold
18,2019-12-19,132.78,133.79,125.66,128.03,637508.534,8.129999999999995,1.049999999999983,7.0800000000000125,8.129999999999995,7.036666666666663,144.38199999999998,108.61500000000001,144.38199999999998,False,False,False,0,0,hold
19,2019-12-20,128.03,129.33,125.73,128.13,346553.796,3.6000000000000085,1.3000000000000114,2.299999999999997,3.6000000000000085,6.935999999999997,144.38199999999998,106.72200000000001,144.38199999999998,False,False,False,0,0,hold
20,2019-12-21,128.13,128.52,126.5,126.99,208331.595,2.0200000000000102,0.3900000000000148,1.6299999999999955,2.0200000000000102,6.814666666666665,144.38199999999998,107.066,144.38199999999998,False,False,False,0,0,hold
21,2019-12-22,126.99,133.33,126.78,132.14,443907.086,6.550000000000011,6.340000000000018,0.20999999999999375,6.550000000000011,7.074666666666667,144.38199999999998,108.831,144.38199999999998,False,False,False,0,0,hold
22,2019-12-23,132.18,135.09,126.01,127.73,698722.014,9.079999999999998,2.950000000000017,6.129999999999981,9.079999999999998,6.997333333333333,144.38199999999998,109.55800000000002,144.38199999999998,False,False,False,0,0,hold
23,2019-12-24,127.75,129.67,126.45,127.76,497534.945,3.2199999999999847,1.9399999999999835,1.2800000000000011,3.2199999999999847,6.905333333333332,144.38199999999998,107.34400000000001,144.38199999999998,False,False,False,0,0,hold
24,2019-12-25,127.72,127.83,123.0,125.06,455279.225,4.829999999999998,0.06999999999999318,4.760000000000005,4.829999999999998,6.92,144.38199999999998,104.655,144.38199999999998,False,False,False,0,0,hold
25,2019-12-26,125.06,132.44,124.33,125.53,583380.778,8.11,7.3799999999999955,0.730000000000004,8.11,7.2733333333333325,144.38199999999998,106.565,144.38199999999998,False,False,False,0,0,hold
26,2019-12-27,125.53,127.06,122.0,126.21,567887.536,5.060000000000002,1.5300000000000011,3.530000000000001,5.060000000000002,7.160666666666667,144.38199999999998,103.048,144.38199999999998,False,False,False,0,0,hold
27,2019-12-28,126.24,129.62,125.77,128.04,468730.855,3.8500000000000085,3.410000000000011,0.4399999999999977,3.8500000000000085,7.270666666666668,144.38199999999998,105.88299999999998,144.38199999999998,False,False,False,0,0,hold
28,2019-12-29,128.02,138.25,127.5,134.28,771614.663,10.75,10.210000000000008,0.539999999999992,10.75,7.726000000000002,144.38199999999998,109.697,144.38199999999998,False,False,False,0,0,hold
29,2019-12-30,134.22,136.21,130.19,131.52,692165.824,6.02000000000001,1.9300000000000068,4.090000000000003,6.02000000000001,7.853333333333335,144.38199999999998,109.63999999999999,144.38199999999998,False,False,False,0,0,hold
